LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag_Codes
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2007-Q1"",3.995967,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2007-Q2"",4.274867,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2007-Q3"",4.641867,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2007-Q4"",4.857867,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2008-Q1"",4.7118,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2008-Q2"",5.158267,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2008-Q3"",5.393267,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2008-Q4"",5.811967,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2009-Q1"",3.8524,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2009-Q2"",2.645467,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2009-Q3"",1.921567,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2009-Q4"",1.564533,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2010-Q1"",1.4077,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2010-Q2"",1.229167,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2010-Q3"",1.141733,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2010-Q4"",1.213933,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2011-Q1"",1.254433,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2011-Q2"",1.459633,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2011-Q3"",1.567733,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2011-Q4"",1.256267,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2012-Q1"",0.9984667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2012-Q2"",0.8291667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2012-Q3"",0.3469667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2012-Q4"",0.3041667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2013-Q1"",0.3026333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2013-Q2"",0.2528333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2013-Q3"",0.2692,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2013-Q4"",0.2617,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2014-Q1"",0.28,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2014-Q2"",0.34,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2014-Q3"",0.3433333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2014-Q4"",0.3,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2015-Q1"",-0.1133333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2015-Q2"",-0.19,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2015-Q3"",-0.08,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2015-Q4"",-0.1133333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2016-Q1"",-0.09,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2016-Q2"",-0.1166667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2016-Q3"",-0.1966667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2016-Q4"",-0.1933333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2017-Q1"",-0.2366667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2017-Q2"",-0.24,"
