 Tid, maaned ; Consmuer price index (2015=100) 
201905; 103.10 
201906; 102.90 
201907; 103.50 
201908; 103.10 
201909; 102.90 
201910; 103.30 
201911; 103.10 
201912; 102.90 
202001; 103.00 
202002; 103.60 
202003; 103.30 
202004; 103.20 
202005; 103.10 
202006; 103.20 
202007; 104.00 
202008; 103.60 
202009; 103.50 
202010; 103.70 
202011; 103.60 
202012; 103.40 
